"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2018 Apr 18 03:12:41 PM","2013 Dec 01 12:00:00 AM","T8","Departure","Domestic","127,353"
"2019 Jun 24 01:17:06 PM","2019 May 01 12:00:00 AM","T3","Departure","International","52,820"
"2018 Apr 18 03:12:41 PM","2006 Mar 01 12:00:00 AM","T6","Arrival","Domestic","211,470"
"2018 Apr 18 03:12:41 PM","2012 Apr 01 12:00:00 AM","T8","Arrival","Domestic","143,662"
"2018 Apr 18 03:12:41 PM","2008 Nov 01 12:00:00 AM","TBIT","Arrival","International","353,237"
"2018 Apr 18 03:12:41 PM","2013 Jun 01 12:00:00 AM","T6","Departure","International","72,383"
"2018 Apr 18 03:12:41 PM","2008 Mar 01 12:00:00 AM","T3","Departure","International","61,556"
"2018 Apr 18 03:12:41 PM","2011 May 01 12:00:00 AM","T5","Arrival","International","3,724"
"2018 Apr 18 03:12:41 PM","2007 May 01 12:00:00 AM","T3","Departure","Domestic","181,092"
"2018 Apr 18 03:12:41 PM","2017 Aug 01 12:00:00 AM","TBIT","Departure","International","756,293"
"2018 Apr 18 03:12:41 PM","2012 Sep 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","153"
"2018 Apr 18 03:12:41 PM","2007 Jul 01 12:00:00 AM","T6","Departure","International","8,590"
"2020 Aug 27 07:15:54 AM","2020 Jul 01 12:00:00 AM","TBIT","Departure","Domestic","3,164"
"2019 Jul 10 06:01:27 AM","2019 Jun 01 12:00:00 AM","T3","Arrival","International","32,564"
"2018 Apr 18 03:12:41 PM","2015 Feb 01 12:00:00 AM","T4","Arrival","Domestic","298,877"
"2018 Apr 18 03:12:41 PM","2014 Oct 01 12:00:00 AM","T3","Arrival","Domestic","326,752"
"2018 Apr 18 03:12:41 PM","2014 Dec 01 12:00:00 AM","T5","Arrival","International","63,535"
"2018 Oct 29 10:20:51 AM","2018 Apr 01 12:00:00 AM","T2","Arrival","International","105,009"
"2018 Apr 18 03:12:41 PM","2012 Sep 01 12:00:00 AM","T7","Arrival","International","63,326"
"2018 Apr 18 03:12:41 PM","2018 Jan 01 12:00:00 AM","T5","Departure","Domestic","354,639"
"2018 Apr 18 03:12:41 PM","2012 Jan 01 12:00:00 AM","T8","Departure","International","8,449"
"2018 Apr 18 03:12:41 PM","2015 Jul 01 12:00:00 AM","T5","Departure","Domestic","413,813"
"2018 Apr 18 03:12:41 PM","2014 Apr 01 12:00:00 AM","T8","Arrival","International","3,565"
"2018 Apr 18 03:12:41 PM","2014 Aug 01 12:00:00 AM","T1","Arrival","Domestic","371,189"
"2021 Mar 03 10:48:12 AM","2021 Jan 01 12:00:00 AM","T4","Departure","Domestic","113,067"
"2021 Mar 03 10:48:12 AM","2021 Jan 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","2,953"
"2021 Mar 03 10:48:12 AM","2021 Jan 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","3,212"
"2018 Apr 18 03:12:41 PM","2013 May 01 12:00:00 AM","T6","Departure","Domestic","287,854"
"2018 Nov 25 11:40:39 AM","2018 Oct 01 12:00:00 AM","T5","Arrival","International","12,226"
"2018 Aug 10 06:01:24 AM","2018 Jun 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","5,887"
"2018 Apr 18 03:12:41 PM","2007 Sep 01 12:00:00 AM","T8","Arrival","Domestic","103,489"
"2018 Apr 18 03:12:41 PM","2015 Jan 01 12:00:00 AM","T8","Departure","Domestic","123,058"
"2018 Apr 18 03:12:41 PM","2010 Jan 01 12:00:00 AM","T7","Arrival","Domestic","225,102"
"2018 Apr 18 03:12:41 PM","2015 Nov 01 12:00:00 AM","TBIT","Arrival","International","482,280"
"2018 Apr 18 03:12:41 PM","2016 Aug 01 12:00:00 AM","T6","Arrival","Domestic","364,016"
"2018 Apr 18 03:12:41 PM","2012 Nov 01 12:00:00 AM","T6","Departure","Domestic","259,507"
"2018 Apr 18 03:12:41 PM","2008 Sep 01 12:00:00 AM","T1","Arrival","Domestic","366,410"
"2018 Apr 18 03:12:41 PM","2010 Sep 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","120"
"2018 Apr 18 03:12:41 PM","2008 Aug 01 12:00:00 AM","TBIT","Departure","International","381,741"
"2018 Apr 18 03:12:41 PM","2012 Apr 01 12:00:00 AM","T5","Arrival","International","29,328"
"2018 Apr 18 03:12:41 PM","2007 Nov 01 12:00:00 AM","T7","Departure","International","39,996"
"2018 Apr 18 03:12:41 PM","2006 Jan 01 12:00:00 AM","T1","Departure","International","561"
"2018 Apr 18 03:12:41 PM","2013 Oct 01 12:00:00 AM","T5","Departure","International","29,237"
"2020 Apr 29 07:14:24 AM","2020 Mar 01 12:00:00 AM","T7","Arrival","Domestic","157,890"
"2018 Apr 18 03:12:41 PM","2011 Oct 01 12:00:00 AM","T8","Arrival","Domestic","143,695"
"2019 Oct 10 06:01:25 AM","2019 Sep 01 12:00:00 AM","T8","Departure","International","4,615"
"2018 Apr 18 03:12:41 PM","2007 Nov 01 12:00:00 AM","T8","Arrival","International","3,110"
"2018 Apr 18 03:12:41 PM","2007 Jun 01 12:00:00 AM","T1","Departure","Domestic","472,675"
"2018 Apr 18 03:12:41 PM","2009 Sep 01 12:00:00 AM","T1","Arrival","Domestic","347,984"
"2018 Apr 18 03:12:41 PM","2008 Jun 01 12:00:00 AM","Imperial Terminal","Departure","Domestic","292"
"2020 Jan 22 06:57:11 AM","2019 Dec 01 12:00:00 AM","T4","Arrival","Domestic","426,571"
"2018 Apr 18 03:12:41 PM","2012 Nov 01 12:00:00 AM","TBIT","Arrival","Domestic","7,016"
"2018 Apr 18 03:12:41 PM","2017 Nov 01 12:00:00 AM","T4","Arrival","International","44,551"
"2018 Apr 18 03:12:41 PM","2012 Jan 01 12:00:00 AM","T7","Arrival","International","33,022"
"2018 Apr 18 03:12:41 PM","2011 Apr 01 12:00:00 AM","T5","Departure","International","21,501"
"2020 Jun 29 07:20:39 AM","2020 May 01 12:00:00 AM","TBIT","Departure","Domestic","1,304"
"2018 Apr 18 03:12:41 PM","2013 Feb 01 12:00:00 AM","T5","Departure","International","15,704"
"2018 Apr 18 03:12:41 PM","2014 Sep 01 12:00:00 AM","T4","Departure","Domestic","350,093"
"2018 Apr 18 03:12:41 PM","2012 Jun 01 12:00:00 AM","T1","Departure","Domestic","427,937"
"2018 Apr 18 03:12:41 PM","2015 Feb 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","83,989"
"2018 May 23 07:44:39 AM","2018 Mar 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","118,142"
"2020 Sep 28 04:07:45 PM","2020 Aug 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","278"
"2019 Nov 10 06:01:31 AM","2019 Oct 01 12:00:00 AM","T1","Departure","Domestic","393,077"
"2018 Apr 18 03:12:41 PM","2013 Jun 01 12:00:00 AM","T5","Arrival","International","28,789"
"2018 Apr 18 03:12:41 PM","2015 Jan 01 12:00:00 AM","T7","Arrival","Domestic","298,378"
"2018 Apr 18 03:12:41 PM","2011 Aug 01 12:00:00 AM","T6","Arrival","International","8,183"
"2018 Oct 29 10:20:51 AM","2017 Jan 01 12:00:00 AM","T2","Arrival","International","219,531"
"2018 Apr 18 03:12:41 PM","2011 Jun 01 12:00:00 AM","T5","Arrival","Domestic","263,352"
"2018 Apr 18 03:12:41 PM","2012 Oct 01 12:00:00 AM","T2","Departure","International","190,187"
"2018 Apr 18 03:12:41 PM","2006 Aug 01 12:00:00 AM","T2","Arrival","International","192,850"
"2018 Apr 18 03:12:41 PM","2007 May 01 12:00:00 AM","T6","Departure","International","3,590"
"2018 Apr 18 03:12:41 PM","2007 Jul 01 12:00:00 AM","T1","Departure","International","333"
"2018 Apr 18 03:12:41 PM","2014 Jan 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","78,873"
"2018 Apr 18 03:12:41 PM","2014 Nov 01 12:00:00 AM","T3","Arrival","Domestic","228,992"
"2018 Apr 18 03:12:41 PM","2006 May 01 12:00:00 AM","T4","Departure","International","49,805"
"2018 Apr 18 03:12:41 PM","2008 Aug 01 12:00:00 AM","T5","Departure","International","42,209"
"2021 Jan 10 06:01:37 AM","2020 Nov 01 12:00:00 AM","T8","Departure","International","2,535"
"2018 Apr 18 03:12:41 PM","2009 Mar 01 12:00:00 AM","T7","Arrival","International","18,090"
